Z,Y,T
0.0037241,0.009431,574.6193827108206
-0.0037241,0.009431,574.6193827108206
0.0037241,0.0106379,648.5734268095249
-0.0037241,0.0106379,648.5734268095249
0.0037241,0.0118448,729.910479429141
-0.0037241,0.0118448,729.910479429141
0.0037241,0.0130517,817.4684343997335
-0.0037241,0.0130517,817.4684343997335
0.0037241,0.0142586,910.5989548787306
-0.0037241,0.0142586,910.5989548787306
0.0037241,0.0154655,1009.8326390886018
-0.0037241,0.0154655,1009.8326390886018
0.0037241,0.0166724,1114.0165527646795
-0.0037241,0.0166724,1114.0165527646795
0.0037241,0.0178793,1222.5467672829914
-0.0037241,0.0178793,1222.5467672829914
0.0037241,0.0190862,1333.6832795600471
-0.0037241,0.0190862,1333.6832795600471
0.0037241,0.0202931,1446.101671631534
-0.0037241,0.0202931,1446.101671631534
0.0037241,0.0215,1559.6263545099775
-0.0037241,0.0215,1559.6263545099775
0.0041379,-0.0135,184.09881887399072
-0.0041379,-0.0135,184.09881887399072
0.0041379,-0.0122931,184.39562774251715
-0.0041379,-0.0122931,184.39562774251715
0.0041379,-0.0110862,185.22445001969476
-0.0041379,-0.0110862,185.22445001969476
0.0041379,-0.0098793,186.63982658159304
-0.0041379,-0.0098793,186.63982658159304
0.0041379,-0.0086724,188.7466240517957
-0.0041379,-0.0086724,188.7466240517957
0.0041379,-0.0074655,191.77700097184157
-0.0041379,-0.0074655,191.77700097184157
0.0041379,-0.0062586,195.85468439810023
-0.0041379,-0.0062586,195.85468439810023
0.0041379,-0.0050517,201.1936217641836
-0.0041379,-0.0050517,201.1936217641836
0.0041379,-0.0038448,208.13251644436144
-0.0041379,-0.0038448,208.13251644436144
0.0041379,-0.0026379,217.33795104099045
-0.0041379,-0.0026379,217.33795104099045
0.0041379,-0.001431,229.10698730352723
-0.0041379,-0.001431,229.10698730352723
0.0041379,-0.0002241,244.01611932406388
-0.0041379,-0.0002241,244.01611932406388
0.0041379,0.0009828,262.83664691894427
-0.0041379,0.0009828,262.83664691894427
0.0041379,0.0021897,287.063467068557
-0.0041379,0.0021897,287.063467068557
0.0041379,0.0033966,317.0106045300471
-0.0041379,0.0033966,317.0106045300471
0.0041379,0.0046034,353.37134757907904
-0.0041379,0.0046034,353.37134757907904
0.0041379,0.0058103,396.9020269510904
-0.0041379,0.0058103,396.9020269510904
0.0041379,0.0070172,448.58816441120024
-0.0041379,0.0070172,448.58816441120024
0.0041379,0.0082241,507.9395828142705
-0.0041379,0.0082241,507.9395828142705
0.0041379,0.009431,574.6188047138596
-0.0041379,0.009431,574.6188047138596
0.0041379,0.0106379,648.5725307290301
-0.0041379,0.0106379,648.5725307290301
0.0041379,0.0118448,729.9093291565316
-0.0041379,0.0118448,729.9093291565316
0.0041379,0.0130517,817.4671741951818
-0.0041379,0.0130517,817.4671741951818
0.0041379,0.0142586,910.5975883259254
-0.0041379,0.0142586,910.5975883259254
0.0041379,0.0154655,1009.8351795163455
-0.0041379,0.0154655,1009.8351795163455
0.0041379,0.0166724,1114.0150900840054
-0.0041379,0.0166724,1114.0150900840054
0.0041379,0.0178793,1222.5488390758094
-0.0041379,0.0178793,1222.5488390758094
0.0041379,0.0190862,1333.6819729572208
-0.0041379,0.0190862,1333.6819729572208
0.0041379,0.0202931,1446.1007140818735
-0.0041379,0.0202931,1446.1007140818735
0.0041379,0.0215,1559.6258661392003
-0.0041379,0.0215,1559.6258661392003
0.0045517,-0.0135,184.0988006481025
-0.0045517,-0.0135,184.0988006481025
0.0045517,-0.0122931,184.39561134749084
-0.0045517,-0.0122931,184.39561134749084
0.0045517,-0.0110862,185.22443901985795
-0.0045517,-0.0110862,185.22443901985795
0.0045517,-0.0098793,186.6398273267667
-0.0045517,-0.0098793,186.6398273267667
0.0045517,-0.0086724,188.74664192251672
-0.0045517,-0.0086724,188.74664192251672
0.0045517,-0.0074655,191.77703998476565
-0.0045517,-0.0074655,191.77703998476565
0.0045517,-0.0062586,195.85477296788957
-0.0045517,-0.0062586,195.85477296788957
0.0045517,-0.0050517,201.19375897743217
-0.0045517,-0.0050517,201.19375897743217
0.0045517,-0.0038448,208.13272267398276
-0.0045517,-0.0038448,208.13272267398276
0.0045517,-0.0026379,217.33827629163568
-0.0045517,-0.0026379,217.33827629163568
0.0045517,-0.001431,229.10747487781381
